N,gradiente_L3,residuo_L3
32,5875.2566,35023.8517
64,4182.4000,33160.8653
128,2730.6488,31753.8908
256,1304.3236,19546.3284
512,2019.0435,10168.2440
1000,3423.1183,10721.6539
2000,16177.2653,23312.7497
4000,20649.4704,21711.5237
8000,23422.7049,23281.6099
9000,23824.0045,23278.4155
10000,24265.5592,23392.7363
20000,25406.2991,23752.1751
