N,gradiente_FLOPS_DP,residuo_FLOPS_DP
32,980.2620,325.1787
64,3054.1400,1322.8657
128,1349.4995,805.9049
256,3109.0709,2186.9793
512,1209.9259,964.6602
1000,3183.0629,2770.6094
2000,2980.0780,3038.8944
4000,3068.9025,3027.9469
8000,3094.3614,3129.7191
9000,3057.1269,3128.3037
10000,2986.3630,3125.1091
20000,2922.5972,3089.2956
