N,gradiente_FLOPS_AVX,residuo_FLOPS_AVX
32,257.6366,0
64,774.3608,0
128,336.2228,0
256,767.9525,0
512,297.5769,0
1000,781.2307,0
2000,730.6123,0
4000,751.9783,0
8000,758.0096,0
9000,748.8658,0
10000,731.5139,0
20000,715.8161,0
