N,gradiente_L2CACHE,residuo_L2CACHE
32,0.3450,0.3038
64,0.3278,0.2890
128,0.2755,0.2969
256,0.0483,0.3048
512,0.0364,0.3163
1000,0.1542,0.3500
2000,0.2760,0.3709
4000,0.3071,0.3752
8000,0.3262,0.3801
9000,0.3337,0.3788
10000,0.3320,0.3757
20000,0.3504,0.3698
